id,name,primary_classification,secondary_classification,tertiary_classification,common_name,material,characteristics,payment_category,payment_standard,description
gz_nhsa_consumables_C01022800800002,C01022800800002,非血管介入治疗类材料,消化介入材料,消化介入异物钳,异物钳,不区分,爪形,乙类,264.78,
gz_nhsa_consumables_C01022800800003,C01022800800003,非血管介入治疗类材料,消化介入材料,消化介入异物钳,异物钳,不区分,钳形,乙类,256.65,
gz_nhsa_consumables_C01023202800000,C01023202800000,非血管介入治疗类材料,消化介入材料,消化介入内镜吻合夹系统,吻合夹,不区分,常规,乙类,193.38,
gz_nhsa_consumables_C01023600200000,C01023600200000,非血管介入治疗类材料,消化介入材料,小肠镜球囊,球囊,不区分,常规,乙类,3880.00,
gz_nhsa_consumables_C01023803201001,C01023803201001,非血管介入治疗类材料,消化介入材料,消化介入注射针,注射针,不锈钢,针长可调节/可锁定/透明,乙类,46.00,
gz_nhsa_consumables_C01023803201002,C01023803201002,非血管介入治疗类材料,消化介入材料,消化介入注射针,注射针,不锈钢,针长可调节/可锁定/不透明,乙类,661.17,
gz_nhsa_consumables_C01023803201004,C01023803201004,非血管介入治疗类材料,消化介入材料,消化介入注射针,注射针,不锈钢,针长可调节/不可锁定/不透,乙类,298.67,
gz_nhsa_consumables_C01023803201005,C01023803201005,非血管介入治疗类材料,消化介入材料,消化介入注射针,注射针,不锈钢,针明长不可调节/可锁定/透明,乙类,369.69,
gz_nhsa_consumables_C01023803201006,C01023803201006,非血管介入治疗类材料,消化介入材料,消化介入注射针,注射针,不锈钢,针长不可调节/可锁定/不透,乙类,258.29,
gz_nhsa_consumables_C01023803201007,C01023803201007,非血管介入治疗类材料,消化介入材料,消化介入注射针,注射针,不锈钢,针明长不可调节/不可锁定/透,乙类,1000.00,
gz_nhsa_consumables_C01023803202001,C01023803202001,非血管介入治疗类材料,消化介入材料,消化介入注射针,注射针,聚丙烯,针明长可调节/可锁定/透明,乙类,276.53,
gz_nhsa_consumables_C01023803202005,C01023803202005,非血管介入治疗类材料,消化介入材料,消化介入注射针,注射针,聚丙烯,针长不可调节/可锁定/透明,乙类,274.21,
gz_nhsa_consumables_C01023803202006,C01023803202006,非血管介入治疗类材料,消化介入材料,消化介入注射针,注射针,聚丙烯,针长不可调节/可锁定/不透,乙类,407.06,
gz_nhsa_consumables_C01023903300001,C01023903300001,非血管介入治疗类材料,消化介入材料,组织切开刀,切开刀,不区分,先明端绝缘/带注液,乙类,3991.68,
